기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	강서구	화곡4동	399	-	560	345	465	31	61	23	34	-	-
2016	강서구	화곡6동	363	-	536	285	400	56	104	22	32	-	-
2016	강서구	화곡8동	399	-	594	342	488	51	96	6	10	-	-
2016	강서구	가양1동	94	-	141	87	126	5	12	2	3	-	-
2016	강서구	가양2동	1,870	-	2,673	1,725	2,384	98	213	47	76	-	-
2016	강서구	가양3동	1,238	-	1,890	1,085	1,586	102	218	51	86	-	-
2016	강서구	발산1동	473	-	848	412	705	46	106	15	37	-	-
2016	강서구	공항동	412	-	618	366	520	30	72	16	26	-	-
2016	강서구	방화1동	406	-	585	366	508	28	52	12	25	-	-
2016	강서구	방화2동	818	-	1,116	749	995	49	91	20	30	-	-
2016	강서구	방화3동	1,203	-	1,692	1,077	1,452	89	175	37	65	-	-
2016	강서구	화곡1동	773	-	1,081	666	902	74	131	33	48	-	-
2016	강서구	우장산동	235	-	321	202	258	25	52	8	11	-	-
2016	강서구	기타	-	34	470	-	-	-	-	-	-	34	470
2016	구로구	소계	5,666	26	8,660	4,817	6,488	659	1,399	190	291	26	482
2016	구로구	신도림동	90	-	131	83	117	6	13	1	1	-	-
2016	구로구	구로1동	44	-	69	38	56	5	12	1	1	-	-
2016	구로구	구로3동	218	-	290	191	243	18	31	9	16	-	-
2016	구로구	구로4동	486	-	662	437	576	36	66	13	20	-	-
2016	구로구	구로5동	239	-	312	212	266	21	39	6	7	-	-
2016	구로구	고척1동	279	-	421	243	340	26	63	10	18	-	-
2016	구로구	고척2동	473	-	734	378	518	80	192	15	24	-	-
2016	구로구	개봉2동	407	-	592	338	472	49	96	20	24	-	-
2016	구로구	개봉3동	386	-	587	314	428	57	134	15	25	-	-
2016	구로구	오류1동	428	-	596	351	447	62	125	15	24	-	-
2016	구로구	오류2동	591	-	955	493	733	68	177	30	45	-	-
2016	구로구	수궁동	341	-	555	290	440	37	88	14	27	-	-
2016	구로구	가리봉동	478	-	587	413	488	56	86	9	13	-	-
2016	구로구	구로2동	582	-	775	517	663	51	93	14	19	-	-
2016	구로구	개봉1동	624	-	912	519	701	87	184	18	27	-	-
2016	구로구	기타	-	26	482	-	-	-	-	-	-	26	482
2016	금천구	소계	6,263	26	9,545	5,028	6,951	1,123	2,118	112	160	26	316
2016	금천구	가산동	389	-	468	300	343	78	114	11	11	-	-
2016	금천구	독산1동	833	-	1,258	706	1,033	124	222	3	3	-	-
2016	금천구	독산2동	693	-	1,031	546	764	132	249	15	18	-	-
2016	금천구	독산3동	670	-	942	551	717	113	217	6	8	-	-
2016	금천구	독산4동	471	-	743	375	554	84	165	12	24	-	-
2016	금천구	시흥1동	837	-	1,223	672	918	153	287	12	18	-	-
2016	금천구	시흥2동	752	-	1,115	580	805	150	276	22	34	-	-
2016	금천구	시흥3동	186	-	275	161	228	20	41	5	6	-	-
2016	금천구	시흥4동	605	-	934	472	664	117	245	16	25	-	-
2016	금천구	시흥5동	827	-	1,240	665	925	152	302	10	13	-	-
2016	금천구	기타	-	26	316	-	-	-	-	-	-	26	316
2016	영등포구	소계	5,808	28	8,044	4,956	6,123	669	1,144	183	249	28	528
2016	영등포구	여의동	52	-	64	52	64	-	-	-	-	-	-
2016	영등포구	당산1동	255	-	336	213	273	35	55	7	8	-	-
2016	영등포구	당산2동	110	-	144	90	109	11	22	9	13	-	-
2016	영등포구	양평1동	164	-	216	136	168	22	41	6	7	-	-
2016	영등포구	양평2동	121	-	164	103	137	13	21	5	6	-	-
2016	영등포구	신길1동	488	-	650	414	524	60	105	14	21	-	-
2016	영등포구	신길3동	428	-	616	357	488	50	95	21	33	-	-
2016	영등포구	신길4동	335	-	494	283	384	40	92	12	18	-	-
2016	영등포구	신길5동	320	-	466	270	358	39	93	11	15	-	-
2016	영등포구	신길6동	263	-	349	224	282	33	59	6	8	-	-
2016	영등포구	신길7동	93	-	108	83	96	7	9	3	3	-	-
2016	영등포구	대림1동	332	-	466	283	376	40	78	9	12	-	-
2016	영등포구	대림2동	299	-	422	268	354	26	58	5	10	-	-
2016	영등포구	대림3동	384	-	571	326	459	47	89	11	23	-	-
2016	영등포구	영등포본동	582	-	653	499	545	55	80	28	28	-	-
2016	영등포구	영등포동	1,030	-	1,089	867	911	142	153	21	25	-	-
2016	영등포구	도림동	372	-	506	324	417	35	72	13	17	-	-
2016	영등포구	문래동	180	-	202	164	178	14	22	2	2	-	-
2016	영등포구	기타	-	28	528	-	-	-	-	-	-	28	528
2016	동작구	소계	5,227	16	7,991	4,638	6,415	476	952	113	206	16	418
2016	동작구	노량진2동	403	-	538	361	462	36	69	6	7	-	-
2016	동작구	상도1동	592	-	839	525	717	56	100	11	22	-	-
2016	동작구	상도2동	253	-	378	223	310	27	61	3	7	-	-
2016	동작구	상도3동	421	-	637	363	515	49	107	9	15	-	-
2016	동작구	상도4동	521	-	794	455	655	50	108	16	31	-	-
2016	동작구	사당1동	266	-	366	239	322	23	39	4	5	-	-
2016	동작구	사당3동	170	-	237	152	198	16	37	2	2	-	-
2016	동작구	사당4동	214	-	303	190	258	21	42	3	3	-	-
