기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2016	강동구	천호1동	1,529	5,643	3.69	11.71
2016	강동구	천호3동	1,863	7,584	4.07	15.14
2016	강동구	성내1동	2,105	18,175	8.63	11.64
2016	강동구	성내2동	1,978	7,625	3.85	15.62
2016	강동구	성내3동	2,461	9,455	3.84	14.3
2016	강동구	둔촌1동	408	1,371	3.36	8.09
2016	강동구	둔촌2동	1,637	9,468	5.78	13.07
2016	강동구	암사1동	1,927	5,510	2.86	12.77
2016	강동구	천호2동	3,707	14,190	3.83	14.41
2016	강동구	길동	3,988	18,681	4.68	13.06
