기간	자치구	동	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012	노원구	하계1동	2,142	1,108	1,034	358	190	168	445	246	199	460	251	209	268	106	162	284	131	153	327	184	143
2012	노원구	하계2동	1,084	599	485	128	66	62	165	94	71	194	119	75	158	71	87	193	94	99	246	155	91
2012	노원구	중계본동	994	548	446	132	75	57	132	64	68	159	94	65	143	66	77	212	111	101	216	138	78
2012	노원구	중계1동	840	469	371	83	51	32	123	71	52	117	70	47	122	53	69	176	92	84	219	132	87
2012	노원구	중계4동	1,343	759	584	119	75	44	263	159	104	282	176	106	184	87	97	252	123	129	243	139	104
2012	노원구	상계1동	1,954	1,082	872	280	167	113	230	125	105	285	155	130	277	142	135	390	185	205	492	308	184
2012	노원구	상계2동	913	562	351	74	50	24	126	72	54	158	102	56	123	69	54	201	114	87	231	155	76
2012	노원구	상계5동	1,106	613	493	87	52	35	127	74	53	188	119	69	181	89	92	244	109	135	279	170	109
2012	노원구	상계8동	804	445	359	63	41	22	101	54	47	123	71	52	131	58	73	160	77	83	226	144	82
2012	노원구	상계9동	777	436	341	84	47	37	115	73	42	124	73	51	101	45	56	180	88	92	173	110	63
2012	노원구	상계10동	592	317	275	61	32	29	92	54	38	89	59	30	88	38	50	124	55	69	138	79	59
2012	노원구	상계3.4동	2,180	1,274	906	145	88	57	313	180	133	371	234	137	322	170	152	466	241	225	563	361	202
2012	노원구	상계6.7동	1,261	687	574	140	74	66	174	90	84	201	119	82	177	90	87	274	136	138	295	178	117
2012	노원구	중계2.3동	3,310	1,819	1,491	522	284	238	700	389	311	622	372	250	428	211	217	484	248	236	554	315	239
2012	노원구	공릉1동	2,231	1,239	992	231	148	83	355	196	159	379	218	161	309	150	159	433	213	220	524	314	210
2012	은평구	소계	21,905	12,951	8,954	2,080	1,362	718	3,089	1,927	1,162	3,624	2,309	1,315	3,309	1,625	1,684	4,472	2,367	2,105	5,331	3,361	1,970
2012	은평구	녹번동	1,404	802	602	100	60	40	159	88	71	221	144	77	246	128	118	333	170	163	345	212	133
2012	은평구	불광1동	1,583	883	700	118	71	47	188	97	91	257	149	108	246	109	137	352	182	170	422	275	147
2012	은평구	갈현1동	1,104	641	463	76	46	30	148	90	58	199	116	83	166	85	81	225	123	102	290	181	109
2012	은평구	갈현2동	1,055	632	423	73	45	28	139	87	52	194	122	72	163	87	76	213	120	93	273	171	102
2012	은평구	구산동	2,409	1,810	599	536	457	79	579	487	92	408	313	95	231	142	89	307	188	119	348	223	125
2012	은평구	대조동	1,332	743	589	79	50	29	196	111	85	226	133	93	222	110	112	278	145	133	331	194	137
2012	은평구	응암1동	1,350	775	575	100	53	47	163	90	73	213	138	75	210	101	109	311	164	147	353	229	124
2012	은평구	응암2동	1,088	619	469	87	53	34	130	75	55	184	114	70	175	81	94	229	129	100	283	167	116
2012	은평구	신사1동	1,161	666	495	102	59	43	141	96	45	181	113	68	175	79	96	258	133	125	304	186	118
2012	은평구	신사2동	954	560	394	71	38	33	143	84	59	145	98	47	138	65	73	209	112	97	248	163	85
2012	은평구	증산동	886	519	367	63	34	29	129	72	57	133	86	47	148	76	72	183	95	88	230	156	74
2012	은평구	수색동	1,011	562	449	81	52	29	119	66	53	163	100	63	170	75	95	245	124	121	233	145	88
2012	은평구	진관동	1,819	999	820	202	112	90	251	146	105	296	174	122	256	116	140	377	198	179	437	253	184
2012	은평구	불광2동	1,461	830	631	124	73	51	189	110	79	221	152	69	242	107	135	302	143	159	383	245	138
