,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
213,천연동,서대문구,432362.18883701705,19633,941,776,894,138.0,4852.1,3859.4
214,북아현동,서대문구,404860.98276090826,38765,864,626,538,110.0,3528.8,3184.9
215,신촌동,서대문구,570489.0658430246,9094,3720,482,548,151.8,2396.3,3389.9
216,연희동,서대문구,950999.0642940672,13263,2318,1377,1314,183.0,5474.1,6151.8
217,홍제1동,서대문구,575892.7309165075,18799,1163,865,853,167.9,3724.1,4840.9
218,홍제2동,서대문구,336383.89940417605,14223,594,648,535,168.7,3737.7,3814.9
219,홍제3동,서대문구,380188.07797858,20514,1201,825,741,237.2,3194.0,3685.9
220,홍은1동,서대문구,523304.7223077611,15273,964,1099,939,184.8,4094.8,4984.3
221,홍은2동,서대문구,653084.6613491973,14080,1176,1298,926,171.9,4990.8,5252.2
222,남가좌1동,서대문구,391570.2661120865,33724,797,537,353,66.0,3567.3,3733.1
223,남가좌2동,서대문구,591620.8454282619,32453,1243,1060,870,153.0,3962.2,5374.2
224,북가좌1동,서대문구,441215.0018297442,37137,665,709,416,100.9,3509.2,4287.1
225,북가좌2동,서대문구,780772.1173196251,40758,2381,1583,1270,178.5,4565.1,7459.3
226,잠원동,서초구,2368457.4332258105,19865,2137,609,708,74.3,7402.7,4617.3
227,반포본동,서초구,820317.1598040701,12458,682,200,258,110.4,1315.5,1445.6
228,반포1동,서초구,2245538.605546595,32109,1508,532,575,62.1,6420.5,3689.4
229,반포2동,서초구,1109996.315442795,12416,455,254,331,48.2,6252.9,2335.9
230,반포3동,서초구,1377178.7506903952,15964,969,326,392,70.8,4616.2,2646.8
231,반포4동,서초구,1373519.6455665377,14406,3586,364,374,81.9,4128.7,2491.5
232,방배본동,서초구,1454900.8539693698,32457,1583,469,423,91.8,4002.1,3324.2
233,방배1동,서초구,1189819.016107688,25261,1805,464,402,141.0,2348.6,2534.1
234,방배4동,서초구,1645106.5592039663,24941,2396,616,547,100.7,4407.6,4056.6
235,서초1동,서초구,1470960.2597907446,15193,3612,472,429,102.9,4472.9,3843.3
236,서초2동,서초구,1265440.5220007442,14924,4356,298,400,85.9,3674.8,2602.6
237,서초3동,서초구,2105137.3867200604,10496,7525,699,633,144.7,5197.8,3803.2
238,서초4동,서초구,2160633.8144319,36156,2869,453,435,68.6,7322.9,4026.3
239,방배2동,서초구,1432133.088754256,11653,1977,756,742,151.1,3573.3,4063.9
240,방배3동,서초구,1523881.761674685,9278,1196,603,555,150.7,4306.9,3389.6
241,양재1동,서초구,3118506.2224106165,8110,3599,1940,978,80.5,8001.8,6458.8
242,양재2동,서초구,1575448.0394386775,3170,5271,674,505,99.1,5846.8,4274.2
243,내곡동,서초구,1256631.565221087,1474,681,852,502,91.7,5464.8,3589.3
244,성북동,성북구,203018.04300462,6259,1132,587,620,183.2,2464.7,4176.0
245,삼선동,성북구,305589.7756708668,29316,1906,965,936,161.5,3676.6,5764.6
246,동선동,성북구,189105.14333405264,22447,1995,575,515,195.1,2541.7,3296.1
247,돈암2동,성북구,288092.379966264,52652,433,724,447,80.1,2822.0,4268.6
248,안암동,성북구,205384.72948863046,12977,1456,575,514,221.0,1911.4,2234.1
249,보문동,성북구,193459.38691385865,30477,1330,621,570,145.7,2452.2,3152.4
250,정릉1동,성북구,223847.18181778144,42368,753,658,502,123.7,2261.8,3910.4
251,정릉2동,성북구,275431.75615374115,20741,887,973,783,152.0,3649.6,3947.9
252,정릉3동,성북구,199766.72128144035,4661,677,758,788,246.5,3287.3,2601.5
253,정릉4동,성북구,309024.9177034841,8678,921,1062,903,139.7,4647.3,5259.5
254,길음1동,성북구,428106.011911106,47885,1092,1064,636,57.9,4491.3,7760.9
255,돈암1동,성북구,184371.77036603141,33478,389,627,501,156.0,2686.2,2847.6
256,길음2동,성북구,190081.68872794046,20288,935,443,431,136.6,2068.5,2745.5
257,종암동,성북구,487020.42108589475,29367,2022,1607,1310,118.5,6427.4,7251.6
258,월곡1동,성북구,318215.93317537004,34388,1351,1180,834,110.1,3738.7,5893.4
259,월곡2동,성북구,236335.4740902064,15222,1589,935,632,155.2,3194.3,4084.2
260,장위1동,성북구,239621.2621214057,30326,928,1064,754,188.1,3940.9,3797.7
261,장위2동,성북구,163220.94601135398,22491,1478,752,723,267.0,2197.2,3318.1
