기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	노원구	상계1동	591	414	70	327	11	4	-	2	23	34	5	29	-	51	4	47	-	-	69	…	69
2016	노원구	상계2동	981	758	150	565	23	17	-	3	15	86	2	84	-	46	-	46	-	-	76	…	76
2016	노원구	상계5동	380	266	42	207	6	10	-	1	8	32	7	25	-	33	-	33	-	-	41	…	41
2016	노원구	상계8동	132	72	20	46	6	-	-	-	9	17	-	17	-	15	-	15	-	-	19	…	19
2016	노원구	상계9동	135	70	24	44	2	-	-	-	6	33	-	33	-	6	-	6	-	-	20	…	20
2016	노원구	상계10동	81	42	11	26	2	1	-	2	9	1	-	1	-	13	-	13	-	-	16	…	16
2016	노원구	상계3.4동	378	229	35	187	6	1	-	-	17	50	4	46	-	39	-	39	-	-	43	…	43
2016	노원구	상계6.7동	545	359	64	242	11	12	25	5	27	28	-	28	-	48	1	47	-	-	83	…	83
2016	노원구	중계2.3동	365	220	79	128	12	-	-	1	20	53	-	53	-	29	-	29	-	-	43	…	43
2016	노원구	공릉1동	711	499	78	402	11	8	-	-	21	51	3	48	-	59	-	59	-	-	81	…	81
2016	노원구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	은평구	계	7,514	5,557	983	4,157	170	149	77	21	275	531	71	460	-	350	6	344	-	-	801	…	801
2016	은평구	녹번동	492	362	56	280	9	15	2	-	25	19	6	13	-	27	-	27	-	-	59	…	59
2016	은평구	불광1동	691	530	78	411	15	12	13	1	16	43	6	37	-	20	-	20	-	-	82	…	82
2016	은평구	갈현1동	780	641	81	512	16	22	9	1	20	37	7	30	-	16	-	16	-	-	66	…	66
2016	은평구	갈현2동	365	276	50	212	8	4	1	1	14	26	-	26	-	17	2	15	-	-	32	…	32
2016	은평구	구산동	276	184	54	118	11	1	-	-	24	26	7	19	-	16	-	16	-	-	26	…	26
2016	은평구	대조동	847	641	120	454	16	28	20	3	14	59	5	54	-	32	-	32	-	-	101	…	101
2016	은평구	응암1동	980	749	111	591	14	18	12	3	26	75	13	62	-	45	1	44	-	-	85	…	85
2016	은평구	응암2동	141	93	16	71	3	2	1	-	17	8	-	8	-	8	-	8	-	-	15	…	15
2016	은평구	신사1동	375	268	51	204	10	2	-	1	20	29	7	22	-	18	1	17	-	-	40	…	40
2016	은평구	신사2동	100	66	15	48	2	-	-	1	8	5	1	4	-	4	-	4	-	-	17	…	17
2016	은평구	증산동	308	216	34	174	7	1	-	-	7	25	6	19	-	26	1	25	-	-	34	…	34
2016	은평구	수색동	277	200	28	155	5	7	-	5	10	18	1	17	-	20	-	20	-	-	29	…	29
2016	은평구	진관동	569	426	128	268	25	-	-	5	30	38	2	36	-	22	-	22	-	-	53	…	53
2016	은평구	불광2동	287	168	36	118	6	7	1	-	13	41	-	41	-	22	-	22	-	-	43	…	43
2016	은평구	응암3동	335	228	32	151	5	22	18	-	10	40	3	37	-	24	-	24	-	-	33	…	33
