읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
이화동,종로구,1474659.3064595358,11053,1289,330,405,243.6
혜화동,종로구,3606252.994596586,18184,1737,571,672,177.1
창신1동,종로구,1049786.650804372,20119,2302,319,459,343.8
창신2동,종로구,1691399.4496807074,38519,871,484,470,287.0
창신3동,종로구,1260501.452474518,32343,264,318,215,152.6
숭인1동,종로구,1138445.2479123173,29230,507,275,379,203.5
숭인2동,종로구,1716705.8841950141,28823,1812,433,564,316.2
응봉동,중구,547538.9966269395,28781,379,528,448,101.2
성수1가1동,중구,584754.6432426354,8874,1601,617,494,113.6
성수1가2동,중구,508939.9941533618,17737,2346,578,447,132.2
성수2가1동,중구,606618.4138745221,15523,2605,840,716,177.7
성수2가3동,중구,395606.03496739385,11568,5203,448,348,179.0
왕십리도선동,중구,940614.5025860128,38685,2079,993,666,100.7
왕십리2동,중구,605741.1638183044,44263,803,678,601,123.7
행당1동,중구,562081.1033280864,28353,1459,638,524,139.2
행당2동,중구,835007.0919721159,59702,592,890,669,101.1
마장동,중구,814391.7156510006,22790,3282,1096,749,156.9
사근동,중구,459881.47177872725,12079,1106,395,317,186.6
송정동,중구,389566.5057342029,17321,692,523,422,168.6
용답동,중구,457924.5293456262,6750,2089,793,704,229.1
소공동,중구,1084081.9191368548,3091,3918,31,57,70.7
회현동,중구,2087703.2426333388,7086,9425,329,478,372.5
명동,중구,1245003.1104175963,3505,6770,126,157,318.6
필동,중구,1799326.7715328946,4425,3075,186,226,256.4
장충동,중구,2003682.4436460487,4157,855,194,186,202.1
광희동,중구,2214802.502118349,8185,9253,231,375,385.8
을지로동,중구,712752.7100531965,3168,9453,88,232,715.6
신당동,중구,3323805.8446836383,17125,12073,380,409,252.2
다산동,중구,5367006.545480489,29633,1396,633,540,224.5
약수동,중구,6322921.1441282565,37444,841,875,803,183.4
청구동,중구,5196116.784828373,43659,785,638,619,179.6
신당5동,중구,3861396.550068417,24849,1305,450,421,175.3
동화동,중구,3939008.983031252,43150,938,432,254,128.7
황학동,중구,4866441.954903668,40545,1867,514,513,164.7
중림동,중구,4630756.493337627,27042,982,531,455,129.2
금호1가동,중구,538968.9383854284,35198,506,661,537,120.1
금호2.3가동,중구,819857.6583089724,38230,1034,955,705,136.6
금호4가동,중구,515654.3311221048,18438,635,521,482,103.4
옥수동,중구,919897.905104565,14112,867,726,679,98.3
면목본동,중랑구,360261.1176444365,36196,2511,1730,1162,181.3
면목2동,중랑구,259966.06044935805,36277,2035,1280,786,159.7
면목3.8동,중랑구,265661.1419846648,16251,2100,1259,978,211.8
면목4동,중랑구,201136.76270506426,18676,1166,1242,710,176.1
면목5동,중랑구,98158.15923680457,15736,850,517,370,172.0
면목7동,중랑구,217794.62771932952,25584,1485,1053,625,202.6
상봉2동,중랑구,196077.78102710415,28299,2102,824,686,207.3
망우3동,중랑구,179151.56138552068,18519,1115,966,672,186.4
상봉1동,중랑구,254728.1756865193,30140,1148,1403,827,109.7
중화1동,중랑구,208730.2047521398,30926,1096,865,522,141.8
중화2동,중랑구,278234.05322753213,29245,2175,1596,1327,249.7
묵1동,중랑구,358432.33055456495,30194,1513,1427,743,117.8
묵2동,중랑구,199715.47708630527,29079,1780,903,724,156.4
망우본동,중랑구,310605.5725303138,11039,3856,1732,1016,194.6
신내1동,중랑구,404897.4373216833,16310,1998,1909,822,96.8
신내2동,중랑구,219603.53668865905,22605,1115,1447,704,131.7
